@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1120,'2018/02/16 17:41:55:597',12,255.90416,314.778931,52.803265,360.005554,322.480713,73.566055,426.613342,325.698669,76.151062,494.802826,326.423004,73.171631,556.231628,329.618896,65.588646,430.747406,318.163391,48.724823,0,0,0,0,0,0,0,0
1121,'2018/02/16 17:41:55:647',12,243.191177,314.123199,52.553963,344.302948,321.642578,73.580025,410.648438,325.141785,76.321877,479.216492,326.407745,73.495102,541.751953,329.950745,66.041328,418.772156,318.108154,48.888248,0,0,0,0,0,0,0,0
1122,'2018/02/16 17:41:55:697',12,232.37146,314.563263,52.348419,330.856628,321.472382,73.587906,397.07666,325.122192,76.464371,465.948547,326.726074,73.770012,529.45636,330.266724,66.429497,408.550964,318.415405,49.032032,0,0,0,0,0,0,0,0
1123,'2018/02/16 17:41:55:748',12,219.124252,314.857483,52.07539,314.061554,321.647156,73.581589,380.062256,325.378235,76.631416,449.421478,327.467651,74.107857,514.072571,330.803406,66.922302,395.970917,318.534851,49.223721,0,0,0,0,0,0,0,0
1124,'2018/02/16 17:41:55:798',12,206.387329,315.537018,51.791454,297.995789,321.968628,73.529709,363.819916,325.650024,76.738968,433.550781,327.799622,74.370697,499.317139,330.62384,67.343643,383.787323,318.327332,49.369888,0,0,0,0,0,0,0,0
1125,'2018/02/16 17:41:55:848',12,194.263107,316.590851,51.529221,282.360535,322.064941,73.521477,347.882233,325.555908,76.900818,418.180847,327.27298,74.708847,485.158539,330.309631,67.843994,372.123688,319.082397,49.566544,0,0,0,0,0,0,0,0
1126,'2018/02/16 17:41:55:896',12,184.292557,316.253906,51.458366,270.178894,321.541962,73.595795,335.626617,325.007507,77.083588,406.215576,326.57251,74.995743,473.892822,329.919037,68.232872,362.387177,319.668854,49.766178,0,0,0,0,0,0,0,0
1127,'2018/02/16 17:41:55:946',12,175.013382,316.191895,51.274281,258.189453,321.356934,73.58519,323.566895,324.752991,77.193359,394.501251,326.064148,75.231812,463.071198,329.556152,68.583565,353.364075,319.822906,49.919712,0,0,0,0,0,0,0,0
1128,'2018/02/16 17:41:55:996',12,167.925308,316.236145,50.980633,247.939758,321.042816,73.452713,313.00415,324.545105,77.196259,384.263855,325.62323,75.387222,453.773804,329.209045,68.886841,346.348755,320.210785,49.986115,0,0,0,0,0,0,0,0
1129,'2018/02/16 17:41:56:047',12,162.173157,316.559998,50.644005,238.580139,321.166992,73.320099,303.39267,324.817261,77.225372,374.976227,325.725952,75.59079,445.661041,329.831757,69.248543,340.71283,321.114197,50.099915,0,0,0,0,0,0,0,0
